author	downloads	downloadsByTime	mods	owner
GLaD0S	1500000	2215.6573116691284	1	Create: Fishing Bobber Detector | Automatic Fishing with Create
braydog2040	19400	38.72255489021956	1	Crafting Recipes For Create
DakotaPrideModding	3539673	6569.3074532651435	7	Create: Genderless, Create: Herbology, Create: Mechanical Botany, Create: Garnished, Create: Framed, Garnished Stone Automation, Create: Garnished Reworked
Bentcheesee	137	1.957142857142857	1	Sophie's Alloys
TheOrionPax	72900	524.4604316546763	1	Create: Cold Sweat
FLa1c	123	20.5	1	Create: Portable Addition
MrJulsen	2102200	3655.811027665447	2	Create Railways Navigator, Create: Pantographs & Wires
rbasamoyai	9276500	10962.121212121212	2	Create Big Cannons, Create: Escalated
minheur2000	574	1.6260623229461757	1	MinheurModding Bits'n'bobs
Reggarf	1904800	7938.852438833535	7	Create: Better Motors, Create Waystones Recipes, Create: Extra Casing, Create Easy Villagers Textures, Create: Fuel Motor, Create: Better Villager, Create: Dimension, Steamworks Realm
SmartStreamLabs	935200	2453.4292749958613	4	Create: Structures Arise, Create: Sky Village Forge & Fabric, World of Wonders ( Structures ) Forge, Create: Pillager Arise
ld_anvil	14054	254.64102564102566	2	Create: Fantasizing Again, Create: Simple Generator
Lytho	18600000	16548.042704626336	1	Ponder for KubeJS
Cashhew	179085	305.0694654183026	2	Ethium Reimagined, Create: Ethium [Outdated - Check Desc.]
Cobblemore_Studio	7700	265.51724137931035	1	Cobblemon: Create Industries (3D Production Models)
average_anime	1142000	2226.224197621844	2	Create: Food, Create: Metalwork
Arp_sys	4600	184	1	HolyPackage
Roxxane	875	9.531529581529583	3	Flat Pack Tweaks, Create: Creative Glue, Create: No Fan
TheRealXAgent	97	12.125	1	Create Horse Power - Together Strong
daviOliva	318000	764.4230769230769	1	Create: Aquatic Ambitions
MadSciSlack	14800	29.019607843137255	1	Astral Dimension Create Compats (Milling and Crushing)
grosik	625	9.191176470588236	1	Create: Sweets & Treats (Reforged)
robinfrt	3851000	11479.221415994165	16	Create: Deep Dark [Forge/NeoForge], Create: Rustic Structures [Forge/Fabric/NeoForge], Create: Curios Jetpack & Backtank [Forge/Fabric/NeoForge], Create: Cheese Factory [Forge/NeoForge], Create: Peaceful [Forge/Fabric/NeoForge], Create: Ranged [Forge/Fabric/NeoForge], Create: Simple Ore Doubling [Forge/Fabric/NeoForge], Create: Easy Stone Generators [Forge/Fabric/NeoForge], Create: Copper & Zinc [Forge/Fabric/NeoForge], Create: Ultimate Factory [Datapack], Create: Copper & Zinc [Datapack], Create: Enlightend [Forge/NeoForge], Create: Ultimate Factory [Forge/Fabric/NeoForge], Create: Ironworks [Forge/Fabric/NeoForge], Create: Crafts & (More) Additions [Forge/Fabric], Create: Winery [Forge/NeoForge]
iglee42	4388600	5470.324032337269	3	Create Encased, Create More Recipes, Create: Quality Of Life
Skytendo06	553	7.9	1	Create: Thermantics
Chilllliii	4515400	5456.355788066109	3	Create : Teleporters, Create : Armory, Create: Frozen Flavors
talrey	25500000	19498.807710530127	2	Create Deco, Create Deco Fabric
axollen	1400	17.72151898734177	1	Create: Ice & Creams
bisson2000	1886	27.90608228980322	2	Portal Builder: Create Edition, Create: Everdrill
drenough455	21300	51.44927536231884	1	Create: More Chocolate
M_Productions	1343000	2169.2589790606125	2	Create: Easy Structures, Create Train Additions
RealAntEngineer	592500	783.3715475437488	2	Create : Creating Space, Create : CROWNS
lpcamors	686000	1665.0485436893205	1	Create Optical
Tatnux	294000	1117.87072243346	1	Create: Smart Crafter
Dr_Mango_Tea	4151200	4342.112450064716	2	Create: More Sand Papers, Create: The Factory Must Grow
Peatral	562	6.938271604938271	1	Create: Toolbox Utils
TheGuy790	1600000	2996.2546816479403	1	Create: Additional Recipes
stalosir	582500	2971.923076923077	2	Create Kart, Create Milk Industry
CraisinLord	30283000	31892.75788432372	4	Integrated Dungeons and Structures, Integrated Cataclysm, Integrated Stronghold, Integrated Villages
dudko	40000	125	1	Create: Blazing Hot
Amronos	197000	461.3583138173302	1	Create: Addon Compatibility
flaulox	50439	207.5858585858586	2	Pollution Of Create, Create: Currency Shops
Silopante	1700000	2377.622377622378	1	Create Air (A ThinAir compat)
a0a7	19200000	29645.717604451558	3	Create: Interiors, Create: Bells & Whistles, Create: Dynamic Village
phicctv	1580000	1174.8480598410472	2	Create Chromatic Return, Create: Supercharged
Elenterius	50700	239.1509433962264	1	Create: Bio-Factory
ProgrammerLP	85100	227.54010695187165	1	Create: TrainUtilities(Fabric/Forge)
yuriotavio	1200	13.186813186813186	1	Better Create
ibarnstormer_	715000	939.5532194480946	1	Create Guardian Beam Defense
moguang	6900	40.828402366863905	1	CT++
pyzpre	3078000	5777.352323384806	3	Create: Oxidized, Create: Bitterballen, Create: Deepfried
george8188262	4300000	5826.558265582656	1	Create: Diesel Generators
DragonEgg	49610	194.86851403189985	2	JAEPT, More Create Burners
Kessatsu	68000	236.11111111111111	1	Create: New Beginnings
Rushmead	6500	44.21768707482993	1	Create: Confectioneering
CathieNova	781000	1143.484626647145	1	Create: Haven Qualities
zeh_maria	971000	1320.4303901984779	2	Create Low-Heated, Create Picky Wheels
Luna	7902100	13330.756162338925	6	Create: Dreams n' Desires, Create: Bigger Storage, Create: Block n' Zapping, Create: Unify, Create: Design n' Decor, Create: Raw Brass
Jopgood	248000	647.5195822454308	1	Create: Fuel & Water Information
baileyholl2	23100000	18887.980376124284	1	Ars Creo
MythrilBagels	3500000	2797.761790567546	1	Create: Alloyed
possible_triangle	42902700	41514.57771868522	3	Create Slice & Dice, Create Jetpack, Big Sip
Forsteri123	8349900	9917.790873040816	9	Create: Ender Transmission, Create: Fantastic Weapons, Create: More Drill Heads, Create: Industrial Chemistry, Create: Petrol Powered, Create More Potatoes [Forge], Create More Potatoes [Fabric], Create: Liquid Fuel, Create: Applied Kinetics
Deepacat	13700	44.051446945337624	1	Create: Powerlines
anvian	160000	314.96062992125985	1	Create: Unbreakable Tools
To0pa	6222316	6390.576995954282	4	Create : Misc & Things, Potato Canon Plus [FORGE], Potato Canon Plus [DATAPACK], Create: Security Program
LatvianModder	32000000	19583.843329253366	1	KubeJS Create
tom54541	11295500	12767.399267399269	3	Create Contraption Terminals, Create Stock Bridge, Create Ore Excavation
IThundxr	42300000	44061.5283914253	2	Create: Numismatics, Create: Steam 'n' Rails
pttheta	608900	1235.5065051075542	2	Create: Love & War, Venders love and war: Flans mod x Create compat
Robocraft999	6652800	3654.875816220372	2	Create Goggles (Create Plus), Create: Amazing Trading
Sarocesch	99400	120.50278738975759	3	Saro´s Create [Forge/NeoForge], Saro´s Create Support For MrCrayfish's Vehicle, Saro´s Create [Fabric/Quilt]
fixdol	26500	267.67676767676767	1	Create Oritech Compat
getItemFromBlock	993000	1471.111111111111	1	Create: Tweaked Controllers
nocubeyt	10757000	14345.65148136349	4	Create Compressed, Create Compact Exp, Create Recycle Everything, Create Compats
Petrolpark	1098000	3576.4682675989757	3	Destroy, Petrolpark Library, Petrol's Parts (Create add-on)
gaeakat	56500	122.03023758099351	1	Occult Creations
sonima	146000	874.251497005988	1	Create: The Air War
DArcyOlla	3000	1.9096117122851686	1	Old Elysium
Doppel_R	6605	32.56133487877909	2	Doppel's worse Create: Core, Create: JustARecipe
SageofTurtles	137	0.8896103896103896	1	Genesis: Additions
donne431	154877	508.09329749123185	4	Create: Experium ore, Create: Crushing Quartz, Create: Curios Backtank, Create: Curios Backtank [Datapack]
Gameingareyou	18364	58.960206028948846	4	ad astra creating space compatibility (Fixed), Creating Space Library, Creating space ores compatibility, Creating space gravity addon (DISCONTINUED)
sierrasunsets	191	1.528	1	The Bad Breakers
Endal	881400	2995.9404410731845	2	Drive-By-Wire, Trackwork
donbarzlol	30700	62.39837398373984	1	Create: Full Automation
WorkLifeBalance	43700	85.18518518518519	1	Create Additions & Synthetics
LieOnLion	57100	826.2817811490378	2	Create: Goggle Placement, Create: Stam1o Tweaks
mephodio	8400	68.85245901639344	1	Sophisticated Injections
Gaboouu	312	2.6218487394957983	1	Legendary Survival Addon
UmbraResistis	6000	8.426966292134832	1	Umbra Poor Ores Create Addon
Jaredlll08	12400000	7740.324594257178	1	CreateTweaker
fluffy_unicorn_army	2400	18.181818181818183	1	Create Nuka Cola
PanPandaa	29200	83.42857142857143	2	Create: Garnished Additions, Garnished Botany Pots
MegumiKasuga	677	2.763265306122449	1	KasugaLib
SnackPirate	57600	171.9402985074627	1	CBC: Nuclear
ARprod	1500	5.1020408163265305	1	ARprod's Delight
